County Unreserved_Timberland_Total Unreserved_Timberland_SE Unreserved_Other_Total Unreserved_Other_SE Unreserved_Total_Total Unreserved_Total_SE Reserved_Productive_Total Reserved_Productive_SE Reserved_Other_Total Reserved_Other_SE Reserved_Total_Total Reserved_Total_SE All_Total All_SE
Alameda 545.4 469.2 3,970.4 1,220.7 4,515.8 1,305.4 — — 847.3 517.9 847.3 517.9 5,363.1 1,404.2 
Alpine 7,007.6 1,960.6 1,452.8 552.9 8,460.3 2,036.4 11,830.4 2,791.6 1,464.3 568.3 13,294.7 2,840.6 21,755.0 3,457.3 
Amador 9,470.6 2,747.0 3,253.6 1,002.9 12,724.2 2,916.6 1,217.2 802.1 46.4 46.9 1,263.6 803.5 13,987.8 3,024.4 
Butte 39,614.1 5,751.8 6,614.4 1,817.1 46,228.5 6,018.6 — — 522.2 386.0 522.2 386.0 46,750.7 6,030.6 
Calaveras 19,527.8 3,879.6 6,335.1 1,240.7 25,862.9 4,047.9 1,215.2 1,238.0 — — 1,215.2 1,238.0 27,078.1 4,232.4 
Colusa 2,945.1 1,298.9 2,404.1 602.2 5,349.3 1,430.1 — — 27.0 25.7 27.0 25.7 5,376.2 1,430.3 
Contra_Costa — — 1,737.0 795.7 1,737.0 795.7 13.5 14.5 1,048.4 697.9 1,061.9 698.0 2,799.0 1,055.5 
Del_Norte 52,132.1 6,563.5 1,519.0 744.7 53,651.1 6,586.4 27,915.5 12,934.0 24.7 31.2 27,940.2 12,934.0 81,591.3 14,307.1
El_Dorado 61,408.7 6,766.7 6,193.8 1,537.5 67,602.5 6,894.2 5,139.4 2,750.8 895.0 447.5 6,034.4 2,786.5 73,636.9 7,317.4
Fresno 28,488.6 4,710.6 6,746.7 1,114.7 35,235.3 4,841.1 38,133.6 5,763.8 6,760.5 1,501.4 44,894.1 5,909.4 80,129.4 7,262.2
Glenn 8,638.4 2,738.8 3,860.8 1,291.7 12,499.2 3,011.3 196.6 206.6 — — 196.6 206.6 12,695.8 3,016.4
Humboldt 177,495.2 12,008.3 8,932.8 2,887.7 186,428.0 12,237.7 51,078.3 11,658.5 — — 51,078.3 11,658.5 237,506.3 15,823.1
Imperial — — 78.9 36.0 78.9 36.0 — — 99.9 102.5 99.9 102.5 178.8 108.6
Inyo 649.0 439.3 2,074.3 446.9 2,723.3 622.5 259.1 181.1 2,954.9 548.3 3,214.0 576.7 5,937.3 816.3
